slug;produit;univers;categorie;sous_categorie;image_principale;photo_studio_categorie;autres_studios_non_servis;pdfs;route_fiche;route_catalogue;statut
tube-rectangle-30x20x2mm-en-acier;Tube rectangle 30x20x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-30x20x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-30x20x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-40x20x2mm-en-acier;Tube rectangle 40x20x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-40x20x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-40x20x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-40x20x2mm-en-inox-304;Tube rectangle 40x20x2mm en Inox 304;inox;/inox/tubes/tube-rectangulaire;Tubes;/images/produits/inox/tubes/tube-rectangulaire/tube-rectangle-40x20x2mm-en-inox-304-caracteristiques.webp;/images/produits/inox/tubes/tube-rectangulaire/studio-inox-tube-rectangulaire.webp;;;/p/tube-rectangle-40x20x2mm-en-inox-304;/catalogue/inox#inox-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-40x20x3mm-en-acier;Tube rectangle 40x20x3mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-40x20x3mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-40x20x3mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-40x30x2mm-en-acier;Tube rectangle 40x30x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-40x30x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-40x30x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-50x20x2mm-en-acier;Tube rectangle 50x20x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-50x20x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-50x20x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-50x25x2mm-en-acier;Tube rectangle 50x25x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-50x25x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-50x25x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-50x30x2mm-en-acier;Tube rectangle 50x30x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-50x30x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-50x30x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-50x30x3mm-en-acier;Tube rectangle 50x30x3mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-50x30x3mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-50x30x3mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
tube-rectangle-60x30x2mm-en-acier;Tube rectangle 60x30x2mm en acier;acier;/acier/tubes/tube-rectangulaire;Tubes;/images/produits/acier/tubes/tube-rectangulaire/tube-rectangle-60x30x2mm-en-acier-caracteristiques.webp;/images/produits/acier/tubes/tube-rectangulaire/studio-tube-rectangulaire.webp;;/documents/fiche-technique-tubes-carres-et-rectangulaires-acier.pdf;/p/tube-rectangle-60x30x2mm-en-acier;/catalogue/acier#acier-tubes-tube-rectangulaire;VALIDÉ
